Sample,   PC1,   PC2,     A,SiO2 wt%
s KD6066-619.1 [17349], 29.59, 14.80,  0.00, 45.28
s KD-6049-544.7 [17349], 33.81, 18.56,  0.04, 44.15
s SR-26 [12751], 19.96, -3.37,  0.85, 43.99
s KD6024-212.1 [17349], 30.50, 14.16,  0.00, 44.40
s 241JSN 95-1 [13590], 23.50,  4.55,  3.48, 43.58
s KD6048-698.6 [17349], 33.05, 17.85,  0.01, 43.91
s SC2008-08 [16512], 11.19,-15.12,  0.11, 41.38
s KD6037-407.1 [17349], 33.03, 16.32,  0.01, 43.70
s 6069AW1-616.7 [17349], 33.45, 17.53,  0.00, 43.87
s 16TTT 96-1 [13590], 34.31, 13.89,  0.07, 42.44
s 53TTT 97-1 [13590], 35.63, 19.64, 19.74, 43.65
s KD6037 462.8 [17349], 33.59, 18.33,  0.03, 44.18
s SR-48 [12751], 20.63, -2.43,  0.20, 43.57
s KD6037 462.8 RPT [17349], 33.44, 18.35,  0.03, 44.32
s KD6083A-413.7 [17349], 33.83, 18.09,  0.01, 43.94
s LSU-12-223.3 [17349], 22.69,  2.02,  0.31, 44.23
s AMM4 [12764], 15.57, -5.74,  0.02, 43.62
s KD6049-511.7 [17349], 33.31, 19.89,  0.02, 45.28
s KD6169-370.2 [17349], 31.46, 14.42,  0.00, 43.99
s KD6012-312.7 [17349], 27.43,  9.30,  0.00, 44.09
s KD6042A-594.1 [17349], 34.96, 20.44,  0.04, 44.42
s KD6083A-407.8 [17349], 31.70, 14.30,  0.00, 43.66
s KD6084-741.4 [17349], 28.49, 14.45,  0.00, 46.02
s 46TTT 97-2 [13590], 33.03, 16.40,  4.65, 44.05
s 136TTT 96-1 [13590], 33.80, 15.47,  0.08, 43.01
s A3-50 [5209], 15.89,-10.01,  0.01, 38.52
s KD5085 532.6 [17349], 29.53, 17.60,  0.01, 46.97
s KD6051-809.5 [17349], 33.15, 19.19,  0.00, 44.99
s SR-4 [12751], 20.54, -3.18,  0.39, 43.61
s KD6083A-405.5 [17349], 30.09, 12.32,  0.02, 43.77
s AF0512B [12853],  8.35,-14.20,  3.21, 43.27
s KD6168-133 [17349], 33.32, 18.42,  0.00, 44.45
s 20SMS 60-4/141.40 [13590], 24.94,  4.40,  0.09, 43.87
s KD6093-247.2 [17349], 32.83, 17.14,  0.00, 44.16
s KD6037-382.2 [17349], 29.91, 13.08,  0.00, 44.31
s KD6074-348.6 [17349], 33.29, 17.32,  0.00, 43.96
s 67TTT 96-1 [13590], 31.84, 13.43,  0.08, 43.42
s 28SMS 62-1/119.70 [13590], 20.87, -1.41,  1.74, 43.67
s 178332 [8808], 16.65,  1.42,  0.10, 47.60
s 65-PTP-03 [17129], 23.73,  8.58,  0.00, 46.92
s SR-27 [12751], 15.90, -8.25,  1.02, 44.58
s KD6168-128.6 [17349], 31.65, 15.02,  0.00, 44.07
s KD6036-283.9 [17349], 33.40, 18.64,  0.00, 44.31
s 6069AW1-635.6 [17349], 33.97, 17.68,  0.00, 43.51
s VS15-150-157 [17349], 25.67,  8.61,  0.00, 44.93
s KD6168-137.3 [17349], 33.02, 18.38,  0.00, 44.71
s KD6061-271.2 [17349], 33.60, 18.53,  0.01, 44.23
s K281 [5122],  2.35,-15.46,  0.34, 44.78
s WA88/80 [5820],  6.50,-15.27,  2.35, 42.28
s KD6039-501.5 [17349], 33.98, 18.28,  0.01, 43.85
s KD5073-487.5 [17349], 28.52, 14.46,  0.01, 45.92
s KD6067-765 [17349], 28.99, 15.57,  0.01, 46.12
s 35TTT 97-1 [13590], 32.20, 16.75,  2.33, 44.63
s 58-PTP-03 [17129], 23.98,  8.71,  0.00, 46.87
s LG16-76-426.2 [17349], 26.54, 11.16,  0.00, 45.82
s KD6037-385.5 [17349], 28.27, 10.26,  0.01, 43.90
s 20SMS 60-3/82.87 [13590], 25.01,  6.90,  0.08, 45.08
s DY-42 [12751], 29.72, 10.84,  0.00, 43.47
s 2JSK 93-2 [13590], 20.42, -0.35,  4.07, 42.38
s 196JSN 95-1 [13590], 20.19,  1.60,  1.74, 45.12
s 126TTT 97-1 [13590], 34.85, 19.97,  4.06, 44.11
s 117TTT 96-1 [13590], 33.20, 16.87,  0.07, 44.34
s SR-28 [12751], 17.35, -5.49,  0.27, 44.80
s SA 78-5 [14411], 28.11,  5.58,  0.01, 43.38
s KD6068-847.8 [17349], 31.47, 18.33,  0.00, 45.89
s KD6061-294.3 [17349], 32.60, 17.17,  0.00, 44.77
s KD5106-244.5 [17349], 32.06, 16.91,  0.01, 44.60
s VS15-150-168.4 [17349], 31.00, 15.40,  0.00, 44.87
s KD6082-290 [17349], 24.40,  8.32,  0.01, 45.95
s KD6074-404.8 [17349], 34.03, 18.80,  0.00, 44.09
s 121JTL 96-1 [13590], 23.39,  4.85,  1.74, 44.46
s 312JEV 95-1 [13590], 23.77,  4.68,  0.58, 43.68
s KD6082-320.7 [17349], 25.65,  9.16,  0.00, 45.31
s KD6012-295.4 [17349], 30.20, 16.37,  0.01, 45.83
s LNSD-17-1027.8 [17349], 26.03, 10.46,  0.01, 45.36
s SA 1-10 [14411], 31.86, 16.35,  0.01, 44.76
s KD5073-558.4 [17349], 25.89,  7.90,  0.01, 44.37
s WA88/192 [5820],  4.79,-12.14,  1.99, 46.01
s 127TTT 96-1 [13590], 30.16, 11.46,  0.08, 44.02
s AH1 [12764],  6.02,-13.82,  0.48, 45.57
s KJP-87-80.2 [5993], 28.39, 13.03,  0.05, 45.21
s 84TTT 96-1 [13590], 30.87, 14.75,  0.31, 44.79
s TULPPIO2 [17129], 29.55, 15.58,  0.01, 45.75
s KD6024-178.6 [17349], 32.20, 16.16,  0.02, 44.25
s DY-35A [12751], 32.10, 16.29,  0.09, 44.49
s LG7-150-129.8 [17349], 34.01, 17.83,  0.00, 43.64
s KD6083A-391.3 [17349], 32.50, 18.47,  0.02, 45.14
s DY-48 [12751], 29.27, 10.00,  0.33, 43.39
s KD6043-277 [17349], 33.49, 19.43,  0.01, 44.82
s KD6045-313.1 [17349], 32.81, 15.80,  0.01, 43.53
s KD6093-241.2 [17349], 31.71, 17.73,  0.00, 45.20
s LG16-76-439.5 [17349], 24.54, 10.00,  0.03, 47.09
s DY-66 [12751], 12.47,-16.34,  1.17, 40.86
s 543MAF 95-1 [13590], 27.35,  9.67,  0.58, 44.11
s KD6083A-416.9 [17349], 32.00, 17.58,  0.00, 45.05
s 86-PTP-03 [17129], 29.35, 12.29,  0.05, 44.19
s 96TB0001 [5196], 19.63, -0.58,  0.04, 44.55
s KD6074-394.7 [17349], 33.59, 21.26,  0.00, 45.68
s 145EJL 93-1 [13590], 30.43, 14.33,  0.00, 44.49
s KD6041-464.6 [17349], 35.32, 16.88,  0.01, 42.13
s LJD0010A-425.6 [17349], 30.56, 13.80,  0.05, 44.60
s KD5115-709.6 [17349], 24.36,  8.58,  0.02, 45.75
s 145EJL 93-1 [13590], 30.28, 15.14,  0.00, 45.06
s DY-50 [12751], 23.63,  4.67,  0.13, 44.40
s KD6027 342.5 [17349], 25.30, 11.28,  0.01, 46.45
s KD6074 408.3 [17349], 32.92, 17.03,  0.02, 44.02
s DY-44 [12751], 26.41,  3.31,  0.11, 42.95
s KD6083A-409 [17349], 31.26, 16.25,  0.01, 44.97
s 76-PTP-03 [17129], 28.94,  9.37,  0.01, 43.32
s KD5051-345.4 [17349], 35.21, 19.51,  0.00, 43.57
s 145EJL 93-1 [13590], 29.83, 15.55,  0.00, 45.71
s CD06b [18756],  8.46,-12.49,  1.06, 42.50
s 5SPL 97-1 [13590], 20.99,  3.96,  3.48, 46.16
s 69TOH 96-2 [13590], 26.40,  8.08,  7.55, 44.67
s SR-5 [12751], 19.01, -4.52,  1.05, 43.96
s SA 78-7 [14411], 31.03, 15.77,  0.03, 45.77
s RBH-42 [17138],  5.16,-13.22,  0.68, 45.24
s LSU-143-542.3 [17349], 31.70, 19.11,  0.00, 46.19
s 145EJL 93-1 [13590], 29.85, 15.41,  0.00, 45.56
s KD6053A-663.4 [17349], 34.59, 19.91,  0.00, 44.44
s KD6012-318.7 [17349], 30.67, 18.57,  0.00, 46.66
s HJO-86-30 [5993], 27.66, 13.94,  0.20, 46.24
s 124JSN 95-1 [13590], 25.11,  8.24,  5.23, 45.80
s 15TTT 97-1 [13590], 28.83, 15.49,  4.06, 45.81
s DY-41 [12751], 30.36, 15.17,  0.02, 45.13
s DY-47 [12751], 28.95, 13.11,  0.09, 45.22
s GP-7 [12751], 20.72, -4.57,  1.15, 42.44
s LNSD011-106.6 [17349], 32.84, 19.47,  0.00, 45.37
s M52/4412/02/R401/15.75-16.75 [17129], 26.60,  9.98,  0.00, 45.05
s CS99-2487A [7163], 23.28,  6.44,  0.01, 46.24
s 145EJL 93-1 [13590], 21.97,  2.78,  0.00, 44.60
s 145EJL 93-1 [13590], 28.26, 13.72,  0.00, 45.75
s 145EJL 93-1 [13590], 29.69, 13.95,  0.00, 44.88
s SR-30 [12751], 17.45, -5.74,  0.94, 44.53
s 152TTT 96-1 [13590], 28.18, 12.06,  0.08, 45.12
s 121JTL 95-1 [13590], 28.57, 14.45,  2.32, 45.90
s 145EJL 93-4 [13590], 28.86, 14.05,  0.00, 45.51
s 42TTT 97-1 [13590], 29.06, 13.57,  5.81, 45.31
s KD6036-328 [17349], 33.43, 18.07,  0.00, 44.20
s 145EJL 93-3 [13590], 29.01, 14.77,  0.00, 45.83
s GP-8 [12751], 20.69, -4.12,  0.68, 42.58
s KD6083A-404 [17349], 19.89, -0.48,  0.04, 43.35
s 145EJL 93-1 [13590], 26.38, 10.40,  0.00, 45.21
s KD5109-506.3 [17349], 29.39, 15.01,  0.02, 45.70
s 33TOH 94-1 [13590], 14.86, -1.39,  2.33, 45.72
s 145EJL 93-4 [13590], 28.87, 12.42,  0.00, 44.80
s LG7-149-137.6 [17349], 28.53, 14.08,  0.00, 45.67
s 1SII 93-3/102.00 [13590], 19.24,  2.35,  2.91, 46.15
s 96TB0048 [5196], 25.54, 10.51,  0.05, 45.59
s 145EJL 93-3 [13590], 30.09, 16.99,  0.00, 46.16
s 145EJL 93-1 [13590], 29.27, 15.33,  0.00, 45.90
s KD6041-502.8 [17349], 31.75, 15.50,  0.01, 43.90
s 145EJL 93-3 [13590], 31.25, 17.91,  0.00, 45.68
s DY-82 [12751], 12.17,-15.49,  1.09, 41.64
s KJP-87-80.2 [17129], 29.21, 13.32,  0.03, 44.72
s KJP-87-14.2 [17129], 18.61,  1.00,  0.42, 44.75
s 7E-PTP-03 [17129], 18.19, -0.80,  0.03, 44.62
s KD6074-400.5 [17349], 33.07, 19.60,  0.01, 45.16
s KD6068-710.9 [17349], 29.29, 17.66,  0.02, 46.47
s 43-PTP-03 [17129], 34.99, 16.81,  0.01, 42.97
s M52/4412/02/R400/27.10-28.10 [17129], 24.50,  8.44,  0.03, 45.69
s 145EJL 93-1 [13590], 30.07, 16.80,  0.00, 46.37
s 145EJL 93-3 [13590], 28.93, 15.22,  0.00, 46.05
s 93JTL 96-1 [13590], 26.38, 11.71,  1.16, 45.71
s 6-PTP-03 [17129], 34.36, 18.48,  0.04, 44.10
s 32-PTP-03 [17129], 21.37,  5.42,  0.00, 46.02
s TULPPIO3 [17129], 22.44,  5.54,  0.00, 45.27
s SR-6 [12751], 18.56, -3.72,  1.29, 44.73
s SC2008-12 [16512],  6.78,-12.72,  0.11, 45.87
s 178336 [8808], 23.03,  9.58, -0.04, 47.75
s SR-3 [12751], 18.46, -3.45,  0.41, 45.01
s KD6025-199.8 [17349], 31.31, 18.71,  0.01, 45.94
s 145EJL 93-4 [13590], 26.40, 11.53,  0.00, 45.96
s WA88/90 [5820],  3.61,-10.40,  2.21, 45.88
s 275JSN 95-1 [13590], 17.91,  0.98,  4.07, 45.46
s 144TOH 94-1 [13590], 20.01,  3.08,  4.65, 45.58
s 96JSK 93-1/12.70 [13590], 19.95,  3.72,  5.81, 46.31
s KD6071A-681.8 [17349], 29.30, 15.79,  0.01, 46.16
s 98-CL-1 [8924],  6.49,-13.75,  0.21, 44.13
s 145EJL 93-4 [13590], 26.87, 12.84,  0.00, 46.17
s EI KÄYTY? [17129], 26.24,  9.09,  0.02, 44.86
s 20SMS 60-7/184.50 [13590], 18.28, -2.22,  0.25, 44.94
s KD6053A-634.5 [17349], 15.49, -6.10,  0.07, 44.08
s 4JTL 96-2 [13590], 20.38,  4.03,  0.51, 45.75
s 18TTT 97 1 [13590], 29.60, 15.67,  3.48, 46.62
s 8SII 93-4/114.50 [13590], 16.17, -2.77,  0.68, 44.77
s M52/4412/02/R402/80.00-81.00 [17129], 25.04,  8.67,  0.02, 45.34
s DY-36 [12751], 29.58, 15.05,  0.15, 46.27
s MSA 5-3 [14411], 22.63,  8.50,  0.01, 47.92
s GP-3 [12751], 20.09, -3.20,  0.30, 43.85
s KD6070-286.3 [17349], 23.73,  9.66,  0.00, 47.42
s 265JSN 95-1 [13590], 11.95,-11.81,  5.32, 45.27
s 70KYK 94-1 [13590], 20.46,  3.16,  2.33, 45.05
s 158TOH 94-1 [13590], 18.37,  1.24,  0.00, 46.10
s TULPPIO1 [17129], 28.14, 13.17,  0.00, 45.55
s HB96-15 [5198], 28.12,  3.88,  0.15, 42.35
s SR-1 [12751], 18.33, -3.28,  0.39, 45.18
s KD6062A-787.5 [17349], 22.04,  4.24,  0.12, 44.58
s SR-17 [12751], 18.83, -2.22,  0.39, 45.29
s KJP-87-14.2 [5993], 18.09,  0.95,  0.35, 45.14
s 234JSN 95-1 [13590], 20.80,  3.73,  1.75, 45.14
s 120TOH 95-1 [13590], 20.44,  4.28,  4.07, 46.46
s 168TOH 93-1 [13590], 19.24,  3.34,  1.75, 46.05
s 19TOH 94-1 [13590], 19.39,  3.69,  3.48, 46.57
s 52TTT 97-1 [13590], 29.37, 18.86,  5.23, 47.68
s 84JSK 93-1 [13590], 18.59,  3.59,  0.58, 49.05
s 10-PTP-03 [17129], 30.21, 16.77,  0.02, 45.82
s 145EJL 93-4 [13590], 25.88, 12.18,  0.00, 46.64
s 145EJL 93-4 [13590], 25.55, 11.00,  0.00, 46.01
s 28SMS 62-1/56.65 [13590], 18.30,  0.09,  0.00, 45.96
s GP-12 [12751], 20.52,  0.02,  0.94, 44.75
s KD6083A 422.3 [17349], 25.62, 12.86,  0.01, 47.27
s GP-14 [12751], 21.44,  0.91,  0.59, 44.71
s K632 [5122],  1.94, -9.50,  0.05, 50.63
s GP-9 [12751], 18.99, -4.10,  0.66, 43.88
s DDS 04 [13000], 31.86,  9.94,  0.04, 42.38
s LSU-1W2-680.4 [17349], 25.90, 16.31,  0.45, 49.00
s 2 [9080], 29.97, 10.61,  0.09, 43.76
s KD6056-364.8 [17349], 23.58, 12.19,  0.04, 48.69
s GP-6 [12751], 20.08, -2.91,  0.65, 43.87
s GP-15 [12751], 17.05, -6.87,  0.37, 43.82
s KD6056-299.3 [17349], 21.85,  7.22,  0.89, 45.19
s WA88/156 [5820],  6.45, -9.47,  2.39, 44.83
s 153JTL 95-1 [13590], 21.49,  4.78,  2.33, 45.08
s 64-PTP-03 [17129], 23.94,  8.34,  0.08, 46.03
s DH96-12 [5198], 26.72,  2.81,  0.04, 42.60
s 92-42 [18431], 30.27,  7.35,  0.07, 42.62
s KD6051-702.7 [17349], 24.19, 11.18,  0.01, 47.26
s DY-39 [12751], 26.66, 15.27,  0.06, 47.66
s DY-1 [12751], 28.43, 12.54,  0.11, 45.39
s 52VIE 67-1/29.20 [13590], 19.57,  2.80,  1.28, 47.19
s 85JSK 93-1 [13590], 18.48,  2.01,  2.34, 45.71
s 145EJL 93-4 [13590], 25.91, 11.01,  0.00, 46.05
s 145EJL 93-1 [13590], 26.45, 13.53,  0.00, 47.14
s WA88/343 [5820],  5.85,-10.29,  1.85, 45.90
s HJO-86-32 [5993], 26.32, 14.24,  0.13, 47.45
s 20JTL 98 1 [13590], 19.48,  4.27,  4.07, 46.37
s 145EJL 93-1 [13590], 26.95, 14.35,  0.00, 47.33
s 28SMS 62-1/114.00 [13590], 18.78,  1.28,  6.39, 45.91
s MC1 [16244], 38.26, 22.14,  0.00, 42.61
s GP-10 [12751], 17.65, -4.25,  0.40, 43.87
s 92-41 [18431], 30.05,  7.74,  0.07, 42.85
s KD6041-376.2 [17349], 23.00, 10.51,  0.02, 48.32
s 130JSK 93-1 [13590], 20.04,  4.52,  3.49, 46.37
s 145EJL 93-1 [13590], 25.66, 11.99,  0.00, 46.85
s 145EJL 93-3 [13590], 24.81, 11.22,  0.00, 46.49
s GP-5 [12751], 19.90, -2.32,  0.01, 44.27
s 220JSN 95-1 [13590], 22.20, 10.03,  2.90, 48.20
s 146TOH 94-1 [13590], 19.57,  3.89,  2.32, 46.18
s 17VIE 64-2/186.56 [13590],  5.08,-11.42,  1.95, 48.50
s MSA 5-8 [14411], 26.03, 11.01,  0.02, 47.01
s GP-17 [12751], 16.69, -6.90,  0.71, 44.45
s KD6068-871.8 [17349], 28.02, 18.99,  0.00, 48.83
s 93-43 [18431], 29.25,  7.14,  0.07, 43.08
s 2ARO 93-1/174.00 [13590],  8.66,-10.34,  4.10, 45.30
s 332JEV 95-3 [13590], 22.69,  8.45,  1.75, 46.66
s 95JSK 93-1/29.50 [13590], 19.29,  2.98,  0.00, 45.80
s SIG-14 [17629], 20.04,  2.08,  0.05, 44.29
s DH96-11 [5198], 27.61,  5.55,  0.06, 43.07
s KD5106-189.8 [17349], 20.74,  2.81,  0.37, 44.31
s HS420 [8684],  9.27,-10.07,  0.13, 45.13
s KD6051-694.5 [17349], 22.27,  9.88,  0.01, 47.51
s GP-19 [12751], 17.79, -5.06,  0.02, 44.33
s 142JTL 95-1 [13590], 20.75,  3.76,  0.59, 45.23
s 62TOH 93-1 [13590], 20.24,  4.60,  4.06, 46.26
s 85TOH 95-1 [13590], 16.05, -3.05,  0.02, 45.66
s KD6049-480.1 [17349], 23.55,  7.65,  0.01, 45.83
s KD6070-295.1 [17349], 23.33,  9.18,  0.01, 46.78
s 313JEV 95-2 [13590], 17.17,  0.17,  2.91, 45.95
s 56TOH 94-1 [13590], 18.84,  3.80,  4.07, 47.31
s 99TOH 95-1 [13590], 22.78,  6.17,  4.07, 46.17
s 62A-PTP-03 [17129], 23.79, 10.09,  0.00, 46.77
s 498257 [13799], 29.48,  9.39,  0.15, 43.09
s KD6039-172.8 [17349], 19.31,  2.83,  0.34, 45.71
s KD6037-282.1 [17349], 19.55,  2.73,  0.02, 45.85
s GP-20 [12751], 17.58, -4.51,  0.27, 44.64
s 142363 [7195], 17.88,  2.04,  0.07, 45.49
s KJP-87-80.1 [5993], 20.45,  6.12,  0.15, 46.81
s 159TOH 94-1 [13590], 17.31,  0.92,  0.00, 46.40
s 17VIE 64-2/109.60 [13590],  4.28,-11.16,  2.96, 49.23
s 312JEV 95-1 [13590], 19.87,  3.51,  2.91, 45.89
s 39TOH 93-1 [13590], 19.36,  2.93,  2.90, 45.83
s 23SMS 62-1/65.45 [13590], 19.18,  2.78,  8.71, 46.83
s SIG-17 [17629], 20.50,  3.19,  0.04, 44.59
s JG03/39 [13196], 18.48,  0.11,  0.09, 45.25
s WA88/157 [5820],  5.72, -9.20,  2.13, 46.07
s T-8 [18431], 23.02,  1.70,  0.02, 43.10
s KD6070-280.3 [17349], 19.24,  2.15,  0.02, 45.78
s 37TOH 94-1 [13590], 16.24,  1.02,  2.91, 47.18
s 50TOH 95-1 [13590], 19.13,  4.11,  0.00, 46.53
s 99TOH 93-1 [13590], 19.45,  4.35,  3.49, 46.33
s K634 [5122],  1.71, -9.09,  0.13, 50.82
s 165392 [8808], 19.68,  7.45, -0.01, 48.52
s KD5082-379.9 [17349], 26.00, 18.88,  0.10, 49.98
s KD6025-204.4 [17349], 22.21,  6.44,  0.01, 46.40
s 161TOH 94-1 [13590], 17.83,  1.81,  4.07, 46.61
s 162TOH 94-1 [13590], 18.02,  2.93,  4.07, 46.89
s 320JEV 95-1 [13590], 19.82,  4.49,  1.16, 46.51
s 47TOH 94-1 [13590], 17.24,  1.35,  0.00, 47.31
s 80TOH 93-1 [13590], 19.24,  3.30,  4.65, 45.97
s 14SMS 70-2/122.85 [13590], 19.17,  1.12,  2.32, 46.84
s 28SMS 62-1/126.45 [13590], 19.87,  3.64,  5.23, 46.65
s 4-PTP-03 [17129], 19.51,  4.66,  0.01, 46.56
s A7 [9105], -0.39, -7.96,  4.68, 49.59
s 145EJL 93-1 [13590], 24.78,  9.70,  0.00, 46.85
s HS426 [8684], 10.91, -8.41,  0.09, 45.37
s DY-16 [12751], 16.29, -0.69,  0.17, 45.19
s MKD1 [16244], 38.04, 21.81,  0.03, 42.88
s 179733 [14137],  8.58, -6.02,  0.25, 48.63
s 89160 [6954], 34.48, 17.24,  0.01, 43.13
s 104TOH 93-1 [13590], 19.85,  4.14,  3.52, 45.93
s 123TOH 95-4 [13590], 11.83, -6.10,  1.76, 46.03
s SIG-18 [17629], 18.81,  2.25,  0.04, 45.12
s A8 [9105], -1.74, -7.11, 14.62, 51.00
s DY-51 [12751], 21.46,  5.70,  0.33, 46.18
s K633 [5122],  1.40, -8.12,  0.02, 51.96
s MC2 [16244], 38.36, 22.69,  0.00, 42.93
s WA88/170 [5820],  5.79, -8.03,  2.27, 46.18
s 47JSN 95-1 [13590], 17.89,  2.06,  1.17, 46.39
s 36JSK 94-1/12.30 [13590], 11.70, -5.65,  2.92, 47.24
s 2J-PTP-03 [17129], 19.65,  4.98,  0.01, 46.67
s 10-BG-07 [16555],  3.32, -7.61,  0.17, 51.24
s 8SII 93-5/115.70 [13590], 17.06,  1.11,  0.08, 46.36
s DY-3 [12751], 21.49,  4.29,  0.06, 46.05
s GP-11 [12751], 16.54, -4.28,  1.27, 44.55
s 485401 [11427], 10.55,-13.67,  0.03, 43.84
s 6068AW2-826 [17349], 21.34,  6.34,  0.07, 46.56
s 131JSK 93-1 [13590], 20.06,  5.99,  1.74, 47.26
s 160TOH 94-1 [13590], 17.60,  2.29,  3.49, 46.74
s 543MAF 95-2 [13590], 23.91, 11.35,  0.58, 47.79
s HJO-86-32 [17129], 26.94, 14.50,  0.06, 47.05
s SIG-19 [17629], 20.66,  3.62,  0.04, 45.08
s T8 [6808], 22.60,  2.68,  0.01, 43.73
s SC2007-16 [16512],  4.51,-11.99,  0.14, 48.75
s T4 [5316], 22.79,  4.31,  0.01, 43.82
s DY-5 [12751], 22.71,  8.71,  0.01, 46.76
s KD6093-252.1 [17349], 22.28,  9.53,  0.01, 47.81
s 109TOH 95-1 [13590], 15.90,  0.88,  2.33, 47.98
s 7D-PTP-03 [17129], 17.58,  2.39,  0.06, 47.14
s SIG-6 [17629], 20.46,  4.07,  0.05, 45.29
s A6 [9105],  0.05, -7.19,113.12, 50.62
s KD6093-236.8 [17349], 16.12, -1.70,  0.05, 45.71
s 178TOH 93-1 [13590], 19.08,  5.40,  3.48, 47.66
s 30JSK 94-2 [13590], 14.91, -0.92,  5.23, 47.18
s 75TOH 93-1 [13590], 19.02,  5.00,  2.90, 47.09
s 5MKT 94-1 [13590], 18.37,  3.09,  2.90, 46.79
s KJP-87-80.1 [17129], 21.06,  6.90,  0.16, 46.59
s 96TB0009 [5196], 20.67,  9.53,  0.03, 48.44
s 485493 [14913],  8.17,-12.40,  0.77, 44.27
s 192447 [8808],  4.92, -1.24,  0.19, 53.99
s 145EJL 93-3 [13590], 23.70, 10.15,  0.00, 47.26
s SR-34 [12751],  8.38, -6.95,  0.46, 50.82
s MSA 23-1 [14411], 25.34, 13.81,  0.01, 47.91
s 212JSN 95-1 [13590],  7.95, -8.93,  6.40, 45.62
s 43TOH 93-1 [13590], 18.23,  3.78,  2.96, 46.96
s BV13 [17165], 29.90, 11.80,  0.02, 44.24
s WP101 [16702], 35.13, 19.19,  0.00, 44.00
s M657 [5696] / s M-657 [5491], 17.65, -3.67,  0.02, 44.13
s H24 [16588], 16.41,  1.45,  0.21, 47.22
s 93-338A  [18431], 28.25, 10.08,  0.01, 43.89
s MSA 26-1 [14411], 23.33, 12.05,  0.03, 48.00
