NoEch.orig,DataSource,Age (Ga),Age,Most_likely,SiO2,TiO2,Al2O3,FeOt,MgO,MnO,CaO,Na2O,K2O,P2O5,LOI,A/NK,A/CNK,K2O/Na2O,Li,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Nb,Sn,Cs,Ba,Hf,Ta,Pb,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,La/Lu N,La,Lu,,Proba,Class.auto.2,Proba.2
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,66.2,0.54,15.12,3.8061476,1.6,0.07,3.95,4.15,1.94,0.24,,1.6937213,0.9386014,0.46746988,,7,58,25,,19,28,,,101,582,25.2,170,11.9,,,666,,1,,14.1,0.6,69.5,133.9,,50.6,7.8,1.7,5.6,0.8,3.8,0.7,2.2,,2.3,0.3,,,,,1,class7,1
,Unpublished,,NA,Potassic,70.069,0.401,15.866,2.6553393,0.9052,0.08,4.039,3.216,1.375,0.153,,2.3404672,1.123432,0.42754975,,7.816192,53.990177,128.403525,193.7215,24.000269,6.868551,76.0819,,174.81646,380.7332,31.338057,272.4228,15.369346,,,306.9613,6.331402,1.3180742,,5.704324,1.6971578,34.878776,57.24302,6.542589,26.195428,6.122551,1.8437864,5.5380967,0.8971466,6.2237739,1.1622577,3.2536015,0.4448756,3.1694832,0.4241422,,,,,1,class7,1
,Unpublished,,NA,Potassic,63.775,0.858,15.946,5.3376729,2.788,0.094,2.833,3.243,1.57,0.287,,2.2668334,1.3086033,0.48411964,,13.630095,78.375577,39.56436,143.3463,15.531037,80.236867,150.60828,,107.19945,485.8738,29.893813,304.26139,14.101055,,,137.8688,6.558222,1.06383,,0.840141,,15.570762,25.86531,3.132374,17.430707,4.284694,1.171983,5.015369,0.690306,5.455464,1.054475,2.784807,0.142709,2.772855,0.418892,,,,,1,class7,1
92-0026a,"Benn and Moyen, 2008",2.66,2660,Potassic,75.3,0.13,13.7,0.359924,0.26,0.04,0.91,4,4.24,,,1.2265054,1.0682652,1.06,,1,,,,,,32,,290,160,10,110,16,,5.7,510,3.7,1.7,,25,6.1,32,56,6.1,21,3.1,0.52,2,0.3,1.7,0.31,,0.15,1,0.15,,,,,0,class13,0.999
92-0027a3,"Benn and Moyen, 2008",2.66,2660,Potassic,72.7,0.25,14.7,0.539886,0.48,0.03,1.46,3.8,4.53,0.1,,1.3178141,1.064489,1.19210526,,1,6,,7,,,35,,200,370,20,180,16,,2.1,1300,4.3,2.4,,24,2.5,55,100,10,34,5,1,3,0.57,3.2,0.6,1,0.27,1.8,0.23,,,,,1,class8,1
03KB90,"Benn and Moyen, 2008",2.66,2660,Potassic,75.17,0.14,13.58,0.7648385,0.2,0.08,0.9,4.19,4.26,0.05,1.51,1.1804422,1.0334411,1.01670644,,,1,27,2,4,,28,20,398,114,13,59,7,,,306.41,,,26,12,,21,,,16,,,,,,,,,,,,,,,1,class2,1
3045A,"Bédard, 2006",2.75,2750,Potassic,72.74134,0.26898065,14.34291,2.127923,0.5796415,0.03984142,2.209462,3.797704,3.8423472,0.04985285,0.8268872,1.3782363,0.9943774,1.01175531,,3.96,14.9,,,,11.6,28.2,,58.320889,167.10003,6.9847433,195.44946,8.6328634,,,716.2275,5.251611,0.41673008,,30.2219071,1.5616678,40.111651,64.97361,5.919147,18.841338,2.7465156,0.4702145,1.9672943,0.25734217,1.542357,0.26674036,0.78617796,0.105420128,0.76723879,0.126956,,,,,0.999,class14,1
3179D2,"Bédard, 2006",2.75,2750,Potassic,72.21436,0.01690644,15.3776,1.6233907,0.2424985,0.38386956,1.6191807,4.802259,3.7031329,0.01680272,0.4990403,1.291301,1.0353443,0.77112311,,7.43,4.1,,,,12.5,9.1,,43.895201,216.06776,76.4638696,38.29232,0.7963681,,0.07085703,438.1634,3.641525,0.08275588,,1.3152576,0.4871071,10.741274,18.70408,1.88774,6.247717,1.5328152,0.3646006,3.0298766,0.97538975,9.9190372,2.60714284,9.83014042,1.762046498,14.49951714,2.23918196,,,,,1,class13,1
1078a,"Bédard, 2006",2.75,2750,Potassic,74.84782,0.17125343,13.70027,1.1316823,0.2316958,0.03022119,1.047668,3.273963,5.5304784,0.03494074,0.32,1.2046929,1.0318557,1.68923057,,2.7,,,,,,,,212.13389,107,8.626,144,9,,,492.001,5,0.8,,39,5.5,16,56,,7,,0.4,,,,,,,0.8055,,,,,,1,class13,1
H 42,Martin 1987,2.9,2900,Potassic,72.1,0.15,14.36,1.7461746,0.7,0.03,2.09,4.03,2.82,0.07,,1.4831297,1.0650989,0.69975186,,,,,5,3,,,,90,238,9,122,7,,,1098,,,,,,56.2,92,,,4.13,0.94,2.6715544,0.35,,,,,0.69,0.076,,,,,1,class14,1
H 538 C,Martin 1987,2.7,2700,Potassic,73.47,0.25,13.75,1.3951395,0.71,0.03,2.02,4.58,2.2,0.03,,1.3866597,1.0118681,0.48034934,,,,,7,5,,,,27,226,4,135,,,,432,,,,,,,,,,,,,,,,,,,,,,,,0.993,class2,0.983
H 539,Martin 1987,2.7,2700,Potassic,73.62,0.27,13.78,1.6471647,0.65,0.01,1.95,4.21,2.47,0.04,,1.4354929,1.0483052,0.58669834,,,,,8,5,,,,49,234,4,135,,,,348,,,,,,,,,,,,,,,,,,,,,,,,0.987,class2,0.948
,Compiled by Martin and Moyen (2002),3,3000,Potassic,70.01,0.45,15.02,2.9761656,0.74,0.03,2.43,4.66,2.34,0.1,,1.472684,1.027546,0.50214592,,,,,,,,,,76,303,,,,,,,,,,,,18.29,,,10.75,1.595,0.565,1.165,,1.238,,,,0.802,0.13,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.5,2500,Potassic,76.5,0.19,11.46,3.8613861,0.2,0.02,1.39,3.71,2.12,0.01,,1.3645965,1.0489301,0.57142857,,,7,187,3,11,,,,26,141,7,240,1,,,590,,,,,,13.5,,,10.34,1.68,0.617,1.23,,0.66,,2.82,,0.282,0.55,,,,,1,class13,1
,Compiled by Martin and Moyen (2002),3.33,3330,Potassic,74.36,0.22,13.89,1.4941494,0.37,0.04,1.44,3.87,4.09,0.05,,1.2868597,1.0356428,1.05684755,,,12,6,1,3,1,40,,169,124,20,149,17,,,478,,,,16,,,,,,,,,,,,,,,,,,,,0.978,class2,0.999
,Compiled by Martin and Moyen (2002),3.62,3620,Potassic,70,0.367,15.52,2.4752475,0.9,0.038,2.67,5.25,2.39,0.12,,1.3827766,0.965267,0.4552381,,,,59,,22,0.5,47,,97,334,,,,,,392,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.62,3620,Potassic,70.19,0.331,15.83,2.2592259,0.81,0.035,2.6,5.15,2.45,0.11,,1.4230197,0.9986365,0.47572816,,,,71,,21,0.3,46,,89,319,,,,,,376,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.8,2800,Potassic,68.83,0.44,15.29,2.6822682,0.38,,3.46,4.3,2.42,,,1.5773576,0.9565528,0.5627907,,,,,,,,,,55,287,,285,,,,2277,6.3,0.4,,30,,53,95,,18.6,4,0.74,2.6933345,0.36,,,,,0.34,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.8,2800,Potassic,70.61,0.32,14.84,1.6111611,0.56,,2.71,4.38,3.3,,,1.3769318,0.9449237,0.75342466,,,,,,,,,,111,174,,,,,,1660,4.4,0.6,,12,,43,75,,22.8,3,0.72,1.7622094,0.22,,,,,0.29,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.8,2800,Potassic,72.5,0.17,14.86,1.1071107,0.32,,3.01,4.27,2.7,,,1.4938941,0.9636828,0.6323185,,,,,,,,,,51,233,,,,,,1660,2.7,0.82,,11,,17,33,,8.35,1.7,0.56,1.1296549,0.15,,,,,0.21,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.516,3516,Potassic,71.02,0.36,14.66,2.6462646,0.67,0.04,2.39,3.82,2.94,0.1,,1.548594,1.06138,0.76963351,,,23,,,,,60,,83,321,,238,,,,1167,,,,21,,71,98,,36.1,6.6,1.1,6.9829755,1.17,,,,,1.7,0.26,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.87,2870,Potassic,71.63,0.38,15.27,1.5490729,0.44,0.03,1.91,4.62,3.16,0.04,,1.3855536,1.0535631,0.68398268,,,,,,,,,,222,249,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,class2,0.963
,Compiled by Martin and Moyen (2002),3.29,3290,Potassic,71.54,0.28,14.29,2.5060576,0.58,0.05,3.04,3.62,2.32,0.08,,1.6878251,1.0211579,0.64088398,,,16,6,102,,1,54,,59,142,15,222,9,,,1193,,,,,,,,,,,,,,,,,,,,,,,,0.999,class0,0.482
,Compiled by Martin and Moyen (2002),2.899,2899,Potassic,72.04,0.25,15.75,2.0522052,0.7,0.03,2.01,4.77,2.72,,,1.4595017,1.0902683,0.57023061,,,,,,,,,,,245,8,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,class0,0.998
,Compiled by Martin and Moyen (2002),2.58,2580,Potassic,72.45,0.18,14.58,0.9520432,0.65,0.04,1.4,5.68,2.5,0.47,,1.209933,0.9989197,0.44014085,,,,,1,2,4,38,,41,224,,,8,,,850,,2,,,,22.59,36.72,5.6,20.92,4.17,0.88,3.79,0.3,1.47,0.05,0.52,0.07,0.33,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.58,2580,Potassic,74.23,0.24,13.22,1.600045,0.34,0.02,1.11,3.05,5.31,0.1,,1.2280173,1.0341415,1.74098361,,,,,2,4,7,32,,99,80,,,13,,,990,,2,,,,89.06,144.24,15.67,42.95,7.97,0.94,5.85,0.89,3.87,0.63,1.45,0.24,1.16,0.18,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.695,2695,Potassic,69.3,0.33,15.6,2.170117,0.6,0.05,2.8,5.4,2.4,0.2,,1.3587214,0.9413236,0.44444444,,,,10,,5,15,35,,202,272,29,809,,,,1480,,,,,,,,,,,,,,,,,,,,,,,,1,class0,0.999
,Compiled by Martin and Moyen (2002),2.695,2695,Potassic,69.2,0.68,15.1,3.0740774,0.66,,3.1,4,2.7,0.19,,1.5889749,0.9973925,0.675,,,,10,,35,50,75,,32,332,,649,,,,2950,,,,,,61.4,96,,37.6,5.06,1.06,2.58,,1.32,0.24,0.54,,0.45,0.08,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.69,3690,Potassic,71.8,0.12,14.77,1.13,0.36,0.03,1.96,4.8,3.28,0.05,,1.2903083,0.9839716,0.68333333,,,,25,33,,,20,,1.06,214,,64,5,,,37.5,,,,20,2,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.73,3730,Potassic,70.5,0.4,14.9,2.1550045,0.73,0.03,2.1,4.37,2.89,0.14,,1.4441718,1.054076,0.66132723,,,26,8,,,24,58,,119,509,17,207,5,,,354,,,,,,73.5,144.4,14.94,65.4,11.99,2.35,7.34,,2.02,,,,,,,,,,1,class14,1
,Compiled by Martin and Moyen (2002),3.6,3600,Potassic,78.69,0.23,11.95,1.0760126,0.24,0.02,1.56,3.25,2.91,0.04,,1.4064658,1.0544518,0.89538462,,,,,,,47,21,,93,128,3,137,12,,,500,,,,2.14,2.19,,,,,,,,,,,,,,,,,,,1,class2,1
,Compiled by Martin and Moyen (2002),3.509,3509,Potassic,69.27,0.35,14.67,2.5832583,0.54,0.02,3.45,3.97,2.78,0.1,,1.5376996,0.927712,0.70025189,,,,,,,,,,57,290,9.16,,,,,,,,,,,67,104,10,35,6.12,1.16,13.8,0.41,1.83,0.34,0.98,0.11,0.74,0.12,,,,,0.999,class14,1
,Compiled by Martin and Moyen (2002),3.509,3509,Potassic,69.35,0.42,15.57,3.1863186,0.61,0.03,2.52,4.06,2.63,0.13,,1.6344884,1.1036415,0.64778325,,,,,,,,,,56,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.509,3509,Potassic,69.05,0.42,15.73,3.1683168,0.69,0.02,2.7,4.31,2.52,0.13,,1.6021394,1.0680825,0.58468677,,,,,,,,,,53,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.509,3509,Potassic,69.51,0.4,15.58,2.8982898,0.58,0.02,2.53,4.48,2.69,0.12,,1.5152984,1.0469086,0.60044643,,,,,,,,,,51,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.4,3400,Potassic,74.1,0.08,14.48,1.2151215,0.2,0.03,0.82,5.11,2.81,,,1.2648379,1.1190929,0.54990215,,,,,,,,,,67,231,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3,3000,Potassic,70.57,0.32,13.84,1.4311431,0.58,0.03,1.33,5.41,2.2,,,1.2268041,1.0102497,0.40665434,,,26,10,,8,,16,,127,320,9,172,,,,660,,,,,,,,,,,,,,,,,,,,,,,,0,class2,0.627
,Compiled by Martin and Moyen (2002),3.75,3750,Potassic,71.7,0.24,14.4,2.7380378,0.5,0.04,2.36,4.34,2.21,0.07,,1.510714,1.0417476,0.50921659,,,,12,,,,,,119,195,9,129,,,,316,,,,11,,,,,,,,,,,,,,,,,,,,0.986,class2,0.927
,Compiled by Martin and Moyen (2002),2.92,2920,Potassic,69.48,0.2,15.07,2.3091449,1.35,0.03,1.28,4.34,2.34,0.35,,1.5580036,1.2558374,0.53917051,,,,6,,33,,19,,22,341,,195,4,,,1816,3.84,0.26,,0.16,,58,126,,49,6.1,2.2,1,0.12,,,,,0.11,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),3.46,3460,Potassic,75.22,0.06,14.44,0.5640054,0.11,0.01,1.14,4.23,4.31,0.02,,1.2422478,1.0542558,1.01891253,,0.9,,,,,,,,106,201,9.9,63,2,,,389,,,,,,,,,,,,,,,,,,,,,,,,1,class2,1
,Compiled by Martin and Moyen (2002),3,3000,Potassic,73.51,0.04,13.66,2.0150495,0.6,0.09,2.13,4.64,2.07,0.27,,1.3834448,0.9936915,0.44612069,,,,,,,,,,92,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,unclass,#N/A
,Compiled by Martin and Moyen (2002),2.959,2959,Potassic,71.22,0.25,16.28,1.5211521,0.39,,1.8,4.8,2.78,,,1.4928036,1.1482208,0.57916667,,,,,,,,,,72,308,26,141,,,,479,,,,,,,,,,,,,,,,,,,,,,,,0,class2,0.942
,Compiled by Martin and Moyen (2002),3.07,3070,Potassic,77.74,0.11,12.96,0.9630963,0.11,,0.79,3.91,2.55,,,1.4098363,1.219311,0.65217391,,,,,,,,,,38,160,130,208,,,,632,,,,,,,,,,,,,,,,,,,,,,,,0,class2,1
,Compiled by Martin and Moyen (2002),3,3000,Potassic,77.7,0.11,13,0.990099,0.11,,0.79,3.9,2.6,,,1.4084159,1.2187547,0.66666667,,,,,,,,,,38,160,130,208,,,,632,,,,13.3,2.4,,,,,,,,,,,,,,,,,,,0,class2,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,69.72,0.44,14.95,2.9531053,0.97,0.04,2.8,4.15,2.43,0.16,,1.5807583,1.0275964,0.58554217,,,42,21,,18,21,,,91,587,17,204,12,,,462,,,,12,1,55,412,,,,,,,,,,,,,,,,,0.999,class10,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,71.33,0.3,14.6,2.1640774,0.67,0.06,2.31,4.34,2.42,0.1,,1.4960196,1.0458956,0.55760369,,3,27,69,,5,11,,,141,315,16.2,192,14.7,,,480,,1.8,,18.8,3.2,53.7,103,,38,6,1.1,,0.5,,0.4,,,1.4,0.5,,,,,0.994,class8,0.999
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,70.95,0.33,14.49,2.8421152,0.94,0.05,2.49,4.26,2.96,0.07,,1.4188991,0.9830713,0.69483568,,4,35,,,17,11,,,114.3,202.4,17.1,114,7.5,,,351,,1.3,,11.1,2.4,21.8,40.3,,16.4,3.2,0.7,2.9,0.5,2.5,0.5,1.6,,1.7,0.3,,,,,0.515,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,73.41,0.4,12.63,3.1910891,1.23,0.04,1.15,3.45,3.17,0.08,,1.3868562,1.1278915,0.91884058,,6,43,,,21,10,,,140.9,133.7,11.2,120,6.7,,,363,,0.8,,9.4,1.9,26.1,45.7,,17.3,3,0.7,2.6,0.4,2,0.4,1.2,,1.3,0.2,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,70.54,0.44,13.8,3.090099,1.09,0.04,2.28,3.8,3.49,0.09,,1.3759967,0.9735694,0.91842105,,6,29,,,13,14,,,106.5,274,23.2,237,10.4,,,1417,,0.6,,10.5,1.4,90,161.9,,54.8,8,1.5,6.2,0.9,4.2,0.8,2.2,,1.9,0.3,,,,,1,class8,0.999
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,73.9,0.07,12.4,1.260126,0.12,,1.22,3.05,4.84,,,1.2089809,0.9940035,1.58688525,,,,,,10,5,,,210,90,24,100,10,,,600,,,,15,1,40,75,,,,,,,,,,,,,,,,,0,class2,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,70.96,0.44,13.66,3.2981278,0.63,0.04,2.11,3.79,3.75,0.1,,1.3269765,0.9667011,0.98944591,,4,25,,,13,51,,,107.1,152.7,27.4,185,11.2,,,904,,0.7,,11.8,1.2,71,132.7,,45.5,7.3,1.2,6,0.9,4.5,0.9,2.5,,2.3,0.3,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,71.24,0.44,13.28,3.4511701,0.73,0.04,2.16,3.47,3.43,0.1,,1.409577,0.9948587,0.98847262,,3,24,,,16,22,,,97.9,179.1,26.1,208,9.7,,,697,,0.7,,9.9,1.3,59.9,110.4,,38.1,6.3,1.3,5.7,0.9,4.3,0.9,2.4,,2.1,0.3,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,71.24,0.38,13.65,2.9461206,0.76,0.04,2.28,3.65,3.63,0.08,,1.3740866,0.9695,0.99452055,,4,26,,,16,20,,,160.2,129,26.1,157,9.8,,,396,,1.3,,19.9,6.1,47.1,88.3,,30.6,5.2,0.9,4.8,0.8,4.1,0.8,2.5,,2.4,0.4,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,71.63,0.45,13.65,3.2490999,0.75,0.05,2.22,3.56,3.44,0.09,,1.4248213,1.0024524,0.96629213,,4,27,,,15,48,,,99.5,162.5,35,200,12.2,,,482,,1.3,,15.6,2.1,61.2,115.7,,41.5,7.3,1.1,6.7,1.1,5.6,1.1,3.3,,3.1,0.5,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,70.3,0.48,13.97,3.5531323,0.89,0.05,2.59,3.9,3.06,0.11,,1.4360383,0.9676289,0.78461538,,5,30,,,15,16,,,109.5,190.3,33.8,187,13.5,,,395,,1.4,,16.5,3.2,50.7,96.4,,36.4,6.6,1.1,6,1,5.2,1,3.1,,3,0.5,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,77.33,0.21,11.87,1.8760576,0.41,0.02,0.56,3.47,3.99,0.04,,1.1837524,1.0746321,1.14985591,,3,13,,,10,8,,,177.5,49.9,15.8,131,7.9,,,327,,0.4,,24.9,3.4,45.1,81.5,,27,4.3,0.6,3.4,0.5,2.5,0.5,1.4,,1.4,0.2,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,74.15,0.22,13.29,1.8551035,0.3,0.02,1.16,3.64,4.4,0.1,,1.2361752,1.0334336,1.20879121,,,10,,,10,12,,,153.6,81.8,19.7,131,7.7,,,311,,0.8,,26.9,5.6,59.2,111.1,,34.7,5.2,0.7,4,0.6,3,0.6,1.8,,1.8,0.3,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,72.71,0.3,13.52,2.4430963,0.55,0.04,1.77,3.69,4.07,0.06,,1.2905749,0.9872787,1.10298103,,4,20,,,13,13,,,168.6,121.3,27.1,138,9.9,,,492,,1.3,,18.3,3.6,57.9,102.8,,33.5,5.4,0.8,4.6,0.7,3.9,0.8,2.5,,2.6,0.4,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,73.06,0.22,12.75,1.9340954,0.48,0.02,2.55,3.6,3.64,0.04,,1.2927833,0.8793763,1.01111111,,3,13,,,28,14,,,126,185.3,21.4,161,7.8,,,565,,0.7,,17,2.9,57.3,108.8,,35.7,5.7,0.9,4.4,0.7,3.4,0.7,1.9,,1.8,0.3,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,72.34,0.23,13.14,1.9220882,0.63,0.02,1.03,3.72,4.36,0.04,,1.2122651,1.0336703,1.17204301,,2,11,,,11,22,,,174.6,221.1,22.4,151,8.6,,,841,,0.9,,15.9,3.1,46.8,90.7,,31,5.2,0.8,4.2,0.6,3.4,0.7,2.1,,2.1,0.3,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,72.69,0.3,13.33,2.5130963,0.63,0.04,1.53,3.91,4.25,0.06,,1.2082251,0.9649215,1.08695652,,3,23,,,14,12,,,168.2,183.6,22.1,135,9.6,,,629,,1.5,,15.9,4.1,42.3,77.8,,26.3,4.6,0.8,3.9,0.6,3.5,0.7,2.2,,2.4,0.4,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,70.55,0.4,13.79,3.2161206,0.97,0.05,2,4.04,3.45,0.09,,1.3284371,0.9838006,0.8539604,,5,29,,,18,14,,,149.5,163.2,24.9,149,10.9,,,486,,1.1,,13.7,2.8,39,76.1,,29,5.3,0.9,4.6,0.7,3.8,0.7,2.2,,2.2,0.3,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,71.38,0.39,13.73,3.0351305,0.79,0.05,1.9,3.92,3.79,0.08,,1.301269,0.9803036,0.96683673,,4,27,,,15,14,,,147.2,141.8,25.8,136,10.6,,,483,,1.5,,20.1,4,50.9,92.8,,30.4,5.1,0.9,4.4,0.7,3.7,0.8,2.3,,2.4,0.4,,,,,1,class8,1
,Unpublished (Pilbara / GSWA / AGSO / D. Champion),,NA,Potassic,71.36,0.37,14.16,2.9251125,0.74,0.04,2.22,3.87,3.4,0.08,,1.4093997,1.005447,0.87855297,,2,23,,,14,15,,,116.1,156.9,26.3,155,9.7,,,703,,1,,12.9,2,61.9,112,,37,6,1.1,5,0.8,4.1,0.8,2.4,,2.3,0.3,,,,,1,class8,1
